n,float,f_ulp,f_hex,double,d_ulp,d_hex,big_dec,f_abs_err,d_abs_err
29,0.01244339533150196075439453125,9.313225746154785E-10,0x1.97bec4p-7,1.23211245430222060548430818016640841960906982421875,2.220446049250313E-16,0x1.3b6bb8c838eacp0,1.232112462911341197202309368914750,1.219669067579839236447914837664750,8.60912059171800118874834158039093017578125E-9
30,0.049309067428112030029296875,3.725290298461914E-9,0x1.93f09cp-5,0.37414651706895796223761863075196743011474609375,5.551115123125783E-17,0x1.7f2043bae4d8p-2,0.374146487861011377075819690789272,0.324837420432899347046522815789272,2.920794658516179893996269543011474609375E-8
31,0.1899421215057373046875,1.4901161193847656E-8,0x1.85006p-3,1.0766292195713358381681246100924909114837646484375,2.220446049250313E-16,0x1.139df8f7fa158p0,1.076629168307855707079555369069696,0.886687046802118402392055369069696,5.12634801310885692410227949114837646484375E-8
32,0.65153443813323974609375,5.9604644775390625E-8,0x1.4d95ecp-1,0.829125448980992274528034613467752933502197265625,1.1102230246251565E-16,0x1.a883217f4f32p-1,0.829125575077627553371215626265788,0.177591136944387807277465626265788,1.26096635278843181012798035066497802734375E-7
33,1.33264636993408203125,1.1920928955078125E-7,0x1.55285p0,1.25415476548017323921158094890415668487548828125,2.220446049250313E-16,0x1.41104965dc22p0,1.254154642567090399518270326476310,0.078491727366991631731729673523690,1.2291308283969331062242784668487548828125E-7
34,0.00274658203125,2.3283064365386963E-10,0x1.68p-9,0.29790653459080740361741845845244824886322021484375,5.551115123125783E-17,0x1.310e691d542fp-2,0.297906967850602763171466979661147,0.295160385819352763171466979661147,4.3325979535955404852120869875113677978515625E-7
35,0.0109636969864368438720703125,9.313225746154785E-10,0x1.674228p-7,0.9253812283075177891333851221133954823017120361328125,1.1102230246251565E-16,0x1.d9cb917fd381ap-1,0.9253821869205908477259065633907658,0.9144184899341540038538362508907658,9.586130730585925214412773703176982879638671875E-7
36,0.04349417984485626220703125,3.725290298461914E-9,0x1.644de8p-5,1.132533660118280049999839320662431418895721435546875,2.220446049250313E-16,0x1.21edb9d7d3c2ep0,1.132532172072557373880008460039187,1.089037992227701111672977210039187,0.000001488045722676119830860623244418895721435546875
37,0.1683014929294586181640625,1.4901161193847656E-8,0x1.58ae74p-3,0.68223716657039634725379073643125593662261962890625,1.1102230246251565E-16,0x1.5d4e309d12348p-1,0.682241325952075382094587830884323,0.513939833022616763930525330884323,0.00000415938167903484079709445306706337738037109375
38,0.58822977542877197265625,5.9604644775390625E-8,0x1.2d2c74p-1,1.332606011931577238982526978361420333385467529296875,2.220446049250313E-16,0x1.5525aae7b2f8ep0,1.332605623297763629578451461537247,0.744375847868991656922201461537247,3.88633813609404075516824173333385467529296875E-7
39,1.3148763179779052734375,1.1920928955078125E-7,0x1.509bbcp0,0.0029076986177596353400076623074710369110107421875,4.3368086899420177E-19,0x1.7d1e2cf097p-9,0.002909251456591208441015085187168,1.311967066521314064996484914812832,0.0000015528388315731010074228796969630889892578125
40,0.07280635833740234375,7.450580596923828E-9,0x1.2a37p-4,0.0116054303372833782226347665300636435858905315399169921875,1.734723475976807E-18,0x1.7c4967e097fd6p-7,0.01161161459425179956014435640621742,0.06119474374315054418985564359378258,0.0000061842569684213375095898761537764141094684600830078125
41,0.2753231227397918701171875,2.9802322387695312E-8,0x1.19ee4ep-2,0.046017663309192900766841916038174531422555446624755859375,6.938893903907228E-18,0x1.78fa08de713c3p-5,0.04604196959655087408938522547825518,0.22928115314324099602780227452174482,0.000024306287357973322543309440080648577444553375244140625
42,0.873884022235870361328125,5.9604644775390625E-8,0x1.bf6dbap-1,0.1777177772274568801069705159534350968897342681884765625,2.7755575615628914E-17,0x1.6bf74c48e0bfdp-3,0.1778082894932143511794437990994251,0.6960757327426560101486812009005749,0.0000905122657574710724732831459900031102657318115234375
43,1.2045161724090576171875,1.1920928955078125E-7,0x1.345b2cp0,0.6161202838818236049434062806540168821811676025390625,1.1102230246251565E-16,0x1.3b741e2b596e2p-1,0.6163857945353492416272218044324502,0.5881303778737083755602781955675498,0.0002655106535256366838155237784333178188323974609375
44,0.465487003326416015625,2.9802322387695312E-8,0x1.dca8ap-2,1.3256685228954376842835927163832820951938629150390625,2.220446049250313E-16,0x1.535f03272c2b1p0,1.325748835026475653442933002562025,0.860261831700059637817933002562025,0.0000803121310379691593402861787429048061370849609375
45,1.211913585662841796875,1.1920928955078125E-7,0x1.363ff8p0,0.030482993794436197276809252798557281494140625,3.469446951953614E-18,0x1.f36ef15b9ap-6,0.030165419383730538522636126794468,1.181748166279111258352363873205532,0.000317574410705658754173126004089281494140625
46,0.44145107269287109375,2.9802322387695312E-8,0x1.c40bcp-2,0.1191443364457298870195955942108412273228168487548828125,1.3877787807814457E-17,0x1.e803e4489bc62p-4,0.1179318199551331157830113700975015,0.3235192527377379779669886299024985,0.0012125164905967712365842241133397273228168487548828125
47,1.181167125701904296875,1.1920928955078125E-7,0x1.2e60f8p0,0.4339912270616397282907428234466351568698883056640625,5.551115123125783E-17,0x1.bc68323bec304p-2,0.4300035373467426630066388327542324,0.7511635883551616338683611672457676,0.0039876897148970652841039906924027568698883056640625
48,0.539201259613037109375,5.9604644775390625E-8,0x1.14123p-1,1.17091975274715576205153411137871444225311279296875,2.220446049250313E-16,0x1.2bc1659c4a18cp0,1.165305022994836115535941392574895,0.626103763381799006160941392574895,0.00561472975231964651559271880381944225311279296875
49,1.28459107875823974609375,1.1920928955078125E-7,0x1.48daf6p0,0.57051980886824171790294712991453707218170166015625,1.1102230246251565E-16,0x1.241b2c219e588p-1,0.587412702128357878168640522384466,0.697178376629881867925109477615534,0.01689289326011616026569339246992892781829833984375
50,0.1878414154052734375,1.4901161193847656E-8,0x1.80b3p-3,1.305600678539801773325734757236205041408538818359375,2.220446049250313E-16,0x1.4e3bd897f6bf6p0,1.314489760648214812396967209350693,1.126648345242941374896967209350693,0.008889082108413039071232452114487958591461181640625
51,0.64551246166229248046875,5.9604644775390625E-8,0x1.4a809cp-1,0.10862331874843533796592964790761470794677734375,1.3877787807814457E-17,0x1.bcebce19b86p-4,0.074309050045856049270514797886692,0.571203411616436431198235202113308,0.03431426870257928869541485002092270794677734375
52,1.33199083805084228515625,1.1920928955078125E-7,0x1.54fd5ap0,0.39909619886596880977691625957959331572055816650390625,5.551115123125783E-17,0x1.98acac885957ap-2,0.2806706954272715803274799739312558,1.0513201426235707048287700260687442,0.11842550343869722944943628564833751572055816650390625
53,0.00536441802978515625,4.6566128730773926E-10,0x1.5f9p-8,1.118551467616080596911842803820036351680755615234375,2.220446049250313E-16,0x1.1e5963944dca6p0,0.8863546638942015773366640943671918,0.8809902458644164210866640943671918,0.232196803721879019575178709452844551680755615234375
54,0.02137134037911891937255859375,1.862645149230957E-9,0x1.5e25e6p-6,0.7207337133460587352828952134586870670318603515625,1.1102230246251565E-16,0x1.7104025fe455p-1,1.188544884955797173542022949292438,1.167173544576678254169464355542438,0.4678111716097384382591277358337509329681396484375
55,0.08411516249179840087890625,7.450580596923828E-9,0x1.588924p-4,1.324563596723438596569621950038708746433258056640625,2.220446049250313E-16,0x1.531699916638ap0,0.516262709159421278897257873964281,0.432147546667622878018351623964281,0.808300887564017317672364076074427746433258056640625
56,0.3152345716953277587890625,2.9802322387695312E-8,0x1.42ccdap-2,0.0348482215989580623727306374348700046539306640625,6.938893903907228E-18,0x1.1d7a0482ebdp-5,1.265469282031809504618328767255131,0.950234710336481745829266267255131,1.2306210604328514422455981298202609953460693359375
57,0.9628198146820068359375,5.9604644775390625E-8,0x1.ecf6b8p-1,0.1357496907500019833747728625894524157047271728515625,2.7755575615628914E-17,0x1.1603ef11b4fc8p-3,0.257639616828927740649486400438559,0.705180197853079095288013599561441,0.1218899260789257572747135378491065842952728271484375
58,1.07021331787109375,1.1920928955078125E-7,0x1.11f98p0,0.48771482738384441812939940064097754657268524169921875,5.551115123125783E-17,0x1.f36b84058d34ep-2,0.8314239508364408437804944032621740,0.2387893670346529062195055967378260,0.34370912345259642565109500262119645342731475830078125
59,0.844783782958984375,5.9604644775390625E-8,0x1.b0878p-1,1.23726205098521813141587699647061526775360107421875,2.220446049250313E-16,0x1.3cbd34ad903acp0,1.251898445272334171359208219337242,0.407114662313349796359208219337242,0.01463639428711603994333122286662673224639892578125
60,1.23815631866455078125,1.1920928955078125E-7,0x1.3cf7dp0,0.35659605551642670207002083770930767059326171875,5.551115123125783E-17,0x1.6d2784314d78p-2,0.305844629263474256344597337362175,0.932311689401076524905402662637825,0.05075142625295244572542350034713267059326171875
61,0.35353183746337890625,2.9802322387695312E-8,0x1.6a044p-2,1.044901981636083387883218165370635688304901123046875,2.220446049250313E-16,0x1.0b7eb23ea70eep0,0.9427557053059609850735476853801507,0.5892238678425820788235476853801507,0.102146276330122402809670479990484988304901123046875
62,1.039173126220703125,1.1920928955078125E-7,0x1.0a074p0,0.9041474728632916679771369672380387783050537109375,1.1102230246251565E-16,0x1.ceec6ae56af3p-1,1.104657861563024079900312818468983,0.065484735342320954900312818468983,0.2005103886997324119231758512309442216949462890625
63,0.917049884796142578125,5.9604644775390625E-8,0x1.d5879p-1,1.16414193339793659021097482764162123203277587890625,2.220446049250313E-16,0x1.2a0534abd8aa4p0,0.757824472913116500885227022548182,0.159225411883026077239772977451818,0.40631746048482008932574780509343923203277587890625
64,1.1452581882476806640625,1.1920928955078125E-7,0x1.252fa4p0,0.59088841030528893583095850772224366664886474609375,1.1102230246251565E-16,0x1.2e88ecfbb17b8p-1,1.308404096414337468092554651849837,0.163145908166656804030054651849837,0.71751568610904853226159614412759333335113525390625
65,0.64618396759033203125,5.9604644775390625E-8,0x1.4ad8ap-1,1.31610630092182123718203001772053539752960205078125,2.220446049250313E-16,0x1.50ec57b084cd4p0,0.097852547115893181583785113498218,0.548331420474438849666214886501782,1.21825375380592805559824490422231739752960205078125
66,1.332074642181396484375,1.1920928955078125E-7,0x1.5502d8p0,0.06801781770892656453497693291865289211273193359375,1.3877787807814457E-17,0x1.1699d9e9ae9cp-4,0.3626848255323684413074055618411272,0.9693898166490280430675944381588728,0.29466700782344187677242862892247430788726806640625
67,0.0050296783447265625,4.6566128730773926E-10,0x1.49ap-8,0.258192000258051945760229273219010792672634124755859375,5.551115123125783E-17,0x1.08637bd4c9e37p-2,1.056118454115140159552778831062024,1.051088775770413597052778831062024,0.797926453857088213792549557843013207327365875244140625
68,0.02004281990230083465576171875,1.862645149230957E-9,0x1.4861aep-6,0.8327786740404461429676530315191484987735748291015625,1.1102230246251565E-16,0x1.aa61f7639eb32p-1,0.878315249092900406370178892431667,0.858272429190599571714417173681667,0.0455365750524542634025258609125185012264251708984375
